Cable ID,PwrE,HybE,RotW,FlxW,OCHand,MFHand
J1,,HybE_ErgoArmElectronicplus,,,OCHand_MyoHandVariPlusSpeed,
J1,,HybE_ErgoArmElectronicplus,,,OCHand_ProPlusETD_ETD2,
J1,,HybE_ErgoArmElectronicplus,,,OCHand_ProPlusHand,
J1,,HybE_ErgoArmElectronicplus,,,OCHand_SensorHandSpeed,
J1,,HybE_ErgoArmElectronicplus,,,OCHand_SystemElectricGreifer,
J1,,HybE_ErgoArmElectronicplus,,,OCHand_SystemElectricHand,
J1,,HybE_ErgoArmElectronicplus,,,OCHand_TASKA,
J1,,HybE_ErgoArmElectronicplus,,,OCHand_VincentEvolution3,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_AbilityHand,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_Adams_Hand,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_AetherZeus,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_bebionic,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_CovviHand,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_Esper_Hand,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_Genesis_Hand,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_iLimbHands,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_Myo_Kinisi,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_MyoHandVariPlusSpeed,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_ProPlusETD_ETD2,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_ProPlusHand,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_SensorHandSpeed,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_SystemElectricGreifer,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_SystemElectricHand,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_TASKA,
J2,,HybE_ErgoArmHybridplus,RotW_ElectronicWristRotator_MyoRotronic,,OCHand_VincentEvolution3,
J2,,HybE_ErgoArmHybridplus,,,OCHand_AbilityHand,
